Instancia;|N|;|S|;|K|;Obj. Value;Lower Bound;Tiempo (ms);#Ticks;#Iter GC;Gap
instance_n3_s1_k1;3;1;1;6;6;124;0.07;1;0%
instance_n4_s2_k1;4;2;1;10;10;59;0.75;4;0%
instance_n5_s2_k1;5;2;1;6;6;57;1.13;4;0%
instance_n6_s3_k2;6;3;2;6;6;209;2.59;4;0%
instance_n7_s3_k2;7;3;2;22;22;66;2.69;3;0%
instance_n8_s3_k2;8;3;2;14;14;201;6.27;4;0%
instance_n9_s4_k2;9;4;2;24;24;345;18.79;5;0%
instance_n10_s7_k3;10;7;3;51;51;290;71.89;7;0%
instance_n10_s2_k2;10;2;2;16;16;14;1.92;1;0%
instance_n11_s9_k3;11;9;3;44;44;630;182.61;13;0%
instance_n11_s2_k2;11;2;2;22;22;65;10.91;3;0%
instance_n12_s10_k3;12;10;3;50;50;1845;528.53;19;0%
instance_n12_s3_k2;12;3;2;34;34;195;58.47;4;0%
instance_n13_s3_k2;13;3;2;26;26;191;53.4;4;0%
instance_n13_s11_k3;13;11;3;66;59.33;15272;7216.8;21;11.24%
instance_n14_s12_k3;14;12;3;60;57.5;9768;4676.64;25;4.35%
instance_n14_s4_k2;14;4;2;46;46;4435;2081.32;7;0%
instance_n15_s2_k2;15;2;2;30;30;27;7.07;1;0%
instance_n15_s13_k4;15;13;4;71;69.44;26518;11635.74;24;2.24%
instance_n15_s8_k2;15;8;2;43;43;2980;1262.23;20;0%
instance_n16_s13_k4;16;13;4;104;96.5;48441;23827.17;26;7.77%
instance_n16_s8_k2;16;8;2;57;55.33;6341;2395.18;22;3.01%
instance_n16_s3_k2;16;3;2;44;44;303;129.46;5;0%
instance_n17_s14_k4;17;14;4;75;74.12;23506;7280.37;25;1.18%
instance_n17_s4_k2;17;4;2;39;39;8847;3836.75;5;0%
instance_n17_s9_k2;17;9;2;63;63;131814;45979.86;21;0%
instance_n18_s5_k2;18;5;2;57;57;14387;6508.36;7;0%
