Instancia;|N|;|S|;|K|;Obj. Value;Lower Bound;Tiempo (ms);#Pulses;#Iter GC;Gap
instance_n3_s1_k1;3;1;1;6;6;156;817;1;0%
instance_n4_s2_k1;4;2;1;10;10;35;14252;4;0%
instance_n5_s2_k1;5;2;1;6;6;33;13321;4;0%
instance_n6_s3_k2;6;3;2;8;6;59;38405;4;33.33%
instance_n7_s3_k2;7;3;2;22;22;44;31787;3;0%
instance_n8_s3_k2;8;3;2;14;14;110;62848;4;0%
instance_n9_s4_k2;9;4;2;24;24;168;73658;4;0%
instance_n10_s7_k3;10;7;3;51;51;423;485564;10;0%
instance_n10_s2_k2;10;2;2;16;16;9;14965;1;0%
instance_n11_s9_k3;11;9;3;44;44;873;1600244;13;0%
instance_n11_s2_k2;11;2;2;22;22;30;57100;3;0%
instance_n12_s10_k3;12;10;3;50;50;1866;3530968;17;0%
instance_n12_s3_k2;12;3;2;34;34;48;85460;4;0%
instance_n13_s3_k2;13;3;2;26;26;67;129344;4;0%
instance_n13_s11_k3;13;11;3;68;59.33;5763;9862718;20;14.61%
instance_n14_s12_k3;14;12;3;60;57.5;296394;476272774;26;4.35%
instance_n14_s4_k2;14;4;2;46;46;289;532968;7;0%
instance_n15_s2_k2;15;2;2;30;30;14;24102;1;0%
instance_n15_s13_k4;15;13;4;71;69.44;70568;109218113;25;2.24%
instance_n15_s8_k2;15;8;2;43;43;3693;6413098;19;0%
instance_n16_s13_k4;16;13;4;98;96.5;11409;17283529;21;1.55%
instance_n16_s8_k2;16;8;2;62;55.33;33616;51482411;17;12.05%
instance_n16_s3_k2;16;3;2;44;44;115;202142;5;0%
instance_n17_s14_k4;17;14;4;79;74.12;33414;46232282;21;6.58%
instance_n17_s4_k2;17;4;2;39;39;268;449818;5;0%
instance_n17_s9_k2;17;9;2;63;63;195184;289515539;22;0%
instance_n18_s5_k2;18;5;2;57;57;538;809692;8;0%
