Instancia;|N|;|S|;|K|;Tiempo (ms);#Labels;#Iter GC;Gap
instance_n3_s1_k1;3;1;1;122;15;1;0%
instance_n4_s2_k1;4;2;1;17;62;4;0%
instance_n5_s2_k1;5;2;1;17;80;4;0%
instance_n6_s3_k2;6;3;2;51;266;4;0%
instance_n7_s3_k2;7;3;2;19;276;3;0%
instance_n8_s3_k2;8;3;2;16;313;4;0%
instance_n9_s4_k2;9;4;2;44;1206;4;0%
instance_n10_s7_k3;10;7;3;197;3624;6;0%
instance_n10_s2_k2;10;2;2;21;121;1;0%
instance_n11_s9_k3;11;9;3;1089;28996;11;0%
instance_n11_s2_k2;11;2;2;7;278;3;0%
instance_n12_s10_k3;12;10;3;211;12882;11;0%
instance_n12_s3_k2;12;3;2;46;1419;3;0%
instance_n13_s3_k2;13;3;2;20;769;4;0%
