Instancia;|N|;|S|;|K|;Tiempo (ms);#Labels;#Iter GC;F Obj;LB;Gap
instance_n10_s2_k2;10;2;2;1;44;1;36;36;0%
instance_n10_s5_k3;10;5;3;4;934;5;37;37;0%
instance_n10_s7_k5;10;7;5;11;4971;9;47;41;14.63%
instance_n11_s2_k2;11;2;2;0;200;1;26;26;0%
instance_n11_s5_k3;11;5;3;2;756;4;27;27;0%
instance_n11_s8_k5;11;8;5;13;2816;9;48;46.5;3.23%
instance_n12_s3_k2;12;3;2;3;2598;4;46;46;0%
instance_n12_s6_k3;12;6;3;5;1042;6;42;42;0%
instance_n12_s9_k5;12;9;5;22;2672;9;58;53.5;8.41%
instance_n13_s3_k2;13;3;2;2;1012;4;30;30;0%
instance_n13_s6_k3;13;6;3;7;2939;6;64;64;0%
instance_n13_s9_k5;13;9;5;13;3661;7;66;61.67;7.03%
instance_n14_s3_k2;14;3;2;0;96;1;33;33;0%
instance_n14_s7_k3;14;7;3;24;9628;9;60;56.5;6.19%
instance_n14_s10_k5;14;10;5;17;5120;8;62;62;0%
instance_n15_s3_k2;15;3;2;2;716;4;30;30;0%
instance_n15_s7_k3;15;7;3;26;7131;9;66;61.33;7.61%
instance_n15_s11_k5;15;11;5;128;11153;14;83;77.9;6.55%
instance_n16_s4_k2;16;4;2;8;2692;7;38;35;8.57%
instance_n16_s8_k3;16;8;3;59;17165;16;59;50.5;16.83%
instance_n16_s12_k5;16;12;5;63;15762;13;93;91.5;1.64%
instance_n17_s4_k2;17;4;2;4;2398;4;39;39;0%
instance_n17_s8_k3;17;8;3;16;3474;8;97;97;0%
instance_n17_s12_k5;17;12;5;81;12163;15;71;63;12.7%
instance_n18_s4_k2;18;4;2;3;1036;4;28;28;0%
instance_n18_s9_k3;18;9;3;29;7444;10;100;100;0%
instance_n18_s13_k5;18;13;5;76;16579;12;98;98;0%
instance_n19_s4_k2;19;4;2;11;6062;6;80;77.33;3.45%
instance_n19_s9_k3;19;9;3;68;9549;14;54;54;0%
instance_n19_s14_k5;19;14;5;193;29815;16;109;106.25;2.59%
instance_n20_s5_k2;20;5;2;2;966;2;63;63;0%
instance_n20_s10_k3;20;10;3;102;39754;12;81;81;0%
instance_n20_s15_k5;20;15;5;201;16466;17;93;93;0%
instance_n21_s5_k2;21;5;2;29;18060;9;49;49;0%
instance_n21_s10_k3;21;10;3;74;11194;13;65;65;0%
instance_n21_s15_k5;21;15;5;311;68738;17;140;129.92;7.76%
instance_n22_s5_k2;22;5;2;17;6408;6;62;62;0%
instance_n22_s11_k3;22;11;3;142;30828;13;103;97;6.19%
instance_n22_s16_k5;22;16;5;633;81574;25;94;94;0%
instance_n23_s5_k2;23;5;2;18;6338;7;41;41;0%
instance_n23_s11_k3;23;11;3;211;34780;16;87;83.5;4.19%
instance_n23_s17_k5;23;17;5;737;116274;22;121;121;0%
instance_n24_s6_k2;24;6;2;56;28694;9;75;62;20.97%
instance_n24_s12_k3;24;12;3;390;110623;18;122;115.25;5.86%
instance_n24_s18_k5;24;18;5;2214;439486;33;135;133.67;1%
instance_n25_s6_k2;25;6;2;64;12269;12;73;69.5;5.04%
instance_n25_s12_k3;25;12;3;569;64614;20;78;75.56;3.24%
instance_n25_s18_k5;25;18;5;980;59638;20;119;119;0%
instance_n26_s6_k2;26;6;2;56;10058;10;61;59.33;2.81%
instance_n26_s13_k3;26;13;3;1193;383867;22;105;97.5;7.69%
instance_n26_s19_k5;26;19;5;2394;171603;30;143;140;2.14%
instance_n27_s6_k2;27;6;2;76;17004;10;88;83.5;5.39%
instance_n27_s13_k3;27;13;3;403;80834;15;104;104;0%
instance_n27_s20_k5;27;20;5;1143;54960;20;148;144.32;2.55%
instance_n28_s7_k2;28;7;2;100;13185;11;56;56;0%
instance_n28_s14_k3;28;14;3;1009;72157;22;119;116.8;1.88%
instance_n28_s21_k5;28;21;5;2639;125866;25;152;145.5;4.47%
instance_n29_s7_k2;29;7;2;140;34984;12;81;81;0%
instance_n29_s14_k3;29;14;3;2183;439850;27;125;121;3.31%
instance_n29_s21_k5;29;21;5;3900;205579;30;148;144.67;2.3%
instance_n30_s7_k2;30;7;2;240;118751;11;84;84;0%
instance_n30_s15_k3;30;15;3;2661;215648;23;112;106.4;5.26%
instance_n30_s22_k5;30;22;5;3162;300424;26;173;170.25;1.62%
instance_n32_s8_k2;32;8;2;251;30312;13;80;80;0%
instance_n32_s16_k3;32;16;3;2419;251409;22;102;94.58;7.84%
instance_n34_s8_k2;34;8;2;378;50853;14;107;107;0%
instance_n34_s17_k3;34;17;3;3879;272918;29;141;129.29;9.06%
instance_n36_s9_k2;36;9;2;637;62446;16;102;102;0%
instance_n36_s18_k3;36;18;3;TLE;612276;26;153.24;---;---
instance_n38_s9_k2;38;9;2;1206;69107;20;88;88;0%
instance_n38_s19_k3;38;19;3;TLE;244561;26;145.75;---;---
instance_n40_s10_k2;40;10;2;1779;392710;18;149;149;0%
instance_n40_s20_k3;40;20;3;TLE;494284;18;200.37;---;---
instance_n42_s10_k2;42;10;2;1193;107247;16;97;95.5;1.57%
instance_n42_s21_k3;42;21;3;TLE;387600;19;227.33;---;---
instance_n44_s11_k2;44;11;2;4705;394952;25;150;150;0%
instance_n44_s22_k3;44;22;3;TLE;355219;17;274.91;---;---
instance_n46_s11_k2;46;11;2;2430;159644;18;116;116;0%
instance_n46_s23_k3;46;23;3;TLE;719364;16;491.36;---;---
instance_n48_s12_k2;48;12;2;TLE;427445;24;125;---;---
instance_n48_s24_k3;48;24;3;TLE;370766;15;486.67;---;---
instance_n50_s12_k2;50;12;2;TLE;551601;21;184.2;---;---
instance_n50_s25_k3;50;25;3;TLE;737732;13;585;---;---
instance_n52_s13_k2;52;13;2;TLE;469654;18;214;---;---
instance_n52_s26_k3;52;26;3;TLE;392766;12;837;---;---
instance_n54_s13_k2;54;13;2;TLE;665074;16;185.09;---;---
instance_n54_s27_k3;54;27;3;TLE;494894;12;815;---;---
instance_n56_s14_k2;56;14;2;TLE;600413;15;521;---;---
instance_n56_s28_k3;56;28;3;TLE;266398;11;990;---;---
instance_n58_s14_k2;58;14;2;TLE;922755;14;571;---;---
instance_n58_s29_k3;58;29;3;TLE;279394;12;1005;---;---
instance_n60_s15_k2;60;15;2;TLE;894095;14;433;---;---
