Instancia;|N|;|S|;|K|;Tiempo (ms) s/Heur.;Sol. Óptima;#Iter GC s/Heur.;Tiempo (ms) c/Heur.;Sol. Aprox.;#Iter GC c/Heur.;Gap Exacto;Cota Inferior;Gap Aprox.
instance_n3_s1_k1;3;1;1;238;6;1;4;6;1;0%;6;0%
instance_n4_s2_k1;4;2;1;18;10;4;22;10;4;0%;10;0%
instance_n5_s2_k1;5;2;1;25;6;4;25;6;4;0%;6;0%
instance_n6_s3_k2;6;3;2;55;6;4;50;6;4;0%;6;0%
instance_n7_s3_k2;7;3;2;29;22;3;12;22;3;0%;22;0%
instance_n8_s3_k2;8;3;2;47;14;4;28;14;4;0%;14;0%
instance_n9_s4_k2;9;4;2;44;24;4;27;24;4;0%;24;0%
instance_n10_s7_k3;10;7;3;161;51;6;46;51;6;0%;51;0%
instance_n10_s2_k2;10;2;2;9;16;1;3;16;1;0%;16;0%
instance_n11_s9_k3;11;9;3;851;44;11;47;47;9;6.82%;47;0%
instance_n11_s2_k2;11;2;2;5;22;3;4;22;3;0%;22;0%
instance_n12_s10_k3;12;10;3;178;50;11;34;50;11;0%;50;0%
instance_n12_s3_k2;12;3;2;14;34;3;10;34;3;0%;34;0%
instance_n13_s3_k2;13;3;2;9;26;4;4;26;4;0%;26;0%
instance_n13_s11_k3;13;11;3;168685;67;14;105;67;14;0%;59.33;12.92%
instance_n14_s12_k3;14;12;3;110422;60;17;79;60;14;0%;57.5;4.35%
instance_n14_s4_k2;14;4;2;49;46;6;8;46;6;0%;46;0%
instance_n15_s2_k2;15;2;2;4;30;1;1;30;1;0%;30;0%
instance_n15_s13_k4;15;13;4;TLE;69.44;19;117;71;17;---;70.5;0.71%
instance_n15_s8_k2;15;8;2;269;43;12;37;43;12;0%;43;0%
instance_n16_s13_k4;16;13;4;345975;98;17;116;98;16;0%;97.5;0.51%
instance_n16_s8_k2;16;8;2;7034;57;14;33;57;11;0%;56;1.79%
instance_n16_s3_k2;16;3;2;16;44;4;5;44;4;0%;44;0%
instance_n17_s14_k4;17;14;4;6366;75;19;91;75;18;0%;74.38;0.84%
instance_n17_s4_k2;17;4;2;519;39;6;12;39;6;0%;39;0%
instance_n17_s9_k2;17;9;2;250728;63;18;113;63;18;0%;63;0%
instance_n18_s5_k2;18;5;2;945;57;5;61;57;5;0%;57;0%
instance_n18_s10_k2;18;10;2;TLE;58;19;167;58;14;---;58;0%
instance_n18_s15_k4;18;15;4;TLE;76.6;18;158;84;18;---;76.6;9.66%
instance_n19_s5_k2;19;5;2;545;56;8;20;56;7;0%;56;0%
instance_n19_s17_k4;19;17;4;TLE;99.75;22;291;103;22;---;99.75;3.26%
instance_n19_s10_k2;19;10;2;11219;77;17;78;77;15;0%;77;0%
instance_n20_s15_k5;20;15;5;5745;70;17;151;70;17;0%;67.2;4.17%
instance_n20_s10_k2;20;10;2;TLE;83.17;17;225;85;17;---;83.17;2.2%
instance_n20_s5_k2;20;5;2;213;31;7;13;31;7;0%;31;0%
instance_n25_s15_k3;25;15;3;TLE;124.75;20;1094;131;20;---;124.75;5.01%
instance_n25_s10_k2;25;10;2;55530;65;28;224;65;27;0%;65;0%
instance_n25_s20_k5;25;20;5;TLE;127.5;24;7866;141;24;---;127.5;10.59%
instance_n30_s20_k3;30;20;3;TLE;131;34;3485;136;34;---;131;3.82%
instance_n30_s15_k2;30;15;2;TLE;93.5;27;982;98;27;---;93.5;4.81%
instance_n30_s25_k5;30;25;5;TLE;145.62;35;6467;148;35;---;145.62;1.63%
instance_n35_s20_k3;35;20;3;TLE;131.15;19;11450;126;32;---;118.62;6.22%
instance_n35_s15_k2;35;15;2;TLE;136;23;6244;136;29;---;136;0%
instance_n35_s25_k5;35;25;5;TLE;178.5;34;4612;181;34;---;178.5;1.4%
instance_n40_s20_k3;40;20;3;TLE;471;10;139188;173;60;---;168.5;2.67%
instance_n40_s15_k2;40;15;2;TLE;188.8;15;9243;136;34;---;134.25;1.3%
instance_n40_s30_k5;40;30;5;TLE;354.5;11;31271;199;40;---;186.86;6.5%
instance_n45_s20_k3;45;20;3;TLE;364.78;11;18615;159;30;---;152.5;4.26%
instance_n45_s40_k5;45;40;5;TLE;1067;9;142394;243;64;---;228.76;6.23%
instance_n45_s15_k2;45;15;2;TLE;236;12;16576;157;34;---;157;0%
instance_n50_s45_k5;50;45;5;TLE;1126;10;169553;218;83;---;211.63;3.01%
instance_n50_s10_k2;50;10;2;TLE;59;15;987;59;15;---;59;0%
instance_n50_s20_k3;50;20;3;TLE;432;11;33167;143;36;---;139.17;2.75%
instance_n55_s20_k3;55;20;3;TLE;613;8;28380;217;31;---;208.72;3.97%
instance_n55_s10_k2;55;10;2;TLE;165.57;17;4428;174;17;---;165.57;5.09%
instance_n55_s45_k5;55;45;5;TLE;999;9;422897;239;92;---;233.49;2.36%
instance_n60_s10_k2;60;10;2;TLE;206.5;8;8716;183;15;---;169.6;7.9%
