Instancia;|N|;|S|;|K|;Tiempo MC;Obj. RL MC;Tiempo GC;Obj. RL GC;#Iter GC;Gap
instance_n3_s1_k1;3;1;1;17ms;5;0ms;6;1;-16.67%
instance_n4_s2_k1;4;2;1;1ms;6;2ms;10;4;-40%
instance_n5_s2_k1;5;2;1;1ms;6;1ms;6;4;0%
instance_n6_s3_k2;6;3;2;3ms;2;3ms;6;4;-66.67%
instance_n7_s3_k2;7;3;2;3ms;12;1ms;22;3;-45.45%
instance_n8_s3_k2;8;3;2;4ms;5;2ms;14;4;-64.29%
instance_n9_s4_k2;9;4;2;5ms;11;5ms;24;4;-54.17%
instance_n10_s7_k3;10;7;3;7ms;13.33;27ms;51;6;-73.86%
instance_n10_s2_k2;10;2;2;4ms;2;1ms;16;1;-87.5%
instance_n11_s9_k3;11;9;3;7ms;21;635ms;44;11;-52.27%
instance_n11_s2_k2;11;2;2;5ms;12;2ms;22;3;-45.45%
instance_n12_s10_k3;12;10;3;8ms;21;142ms;50;11;-58%
instance_n12_s3_k2;12;3;2;5ms;8;7ms;34;3;-76.47%
instance_n13_s3_k2;13;3;2;6ms;9;4ms;26;4;-65.38%
instance_n13_s11_k3;13;11;3;10ms;17;TLE;59.33;14;---
instance_n14_s12_k3;14;12;3;12ms;19.67;TLE;57.5;16;---
instance_n14_s4_k2;14;4;2;6ms;5;46ms;46;6;-89.13%
instance_n15_s2_k2;15;2;2;7ms;9;2ms;30;1;-70%
instance_n15_s13_k4;15;13;4;16ms;39;TLE;70.5;17;---
instance_n15_s8_k2;15;8;2;8ms;17.33;231ms;43;12;-59.69%
instance_n16_s13_k4;16;13;4;18ms;21.33;TLE;97.5;16;---
instance_n16_s8_k2;16;8;2;13ms;22;7001ms;55.33;14;-60.24%
instance_n16_s3_k2;16;3;2;8ms;4;13ms;44;4;-90.91%
instance_n17_s14_k4;17;14;4;20ms;27;6460ms;74.12;19;-63.58%
instance_n17_s4_k2;17;4;2;10ms;5;507ms;39;6;-87.18%
instance_n17_s9_k2;17;9;2;9ms;20;TLE;63;18;---
instance_n18_s5_k2;18;5;2;10ms;5;946ms;57;5;-91.23%
instance_n18_s10_k2;18;10;2;11ms;11;TLE;58;14;---
instance_n18_s15_k4;18;15;4;22ms;12;TLE;76.6;18;---
instance_n19_s5_k2;19;5;2;12ms;18;1059ms;55.5;8;-67.57%
instance_n19_s17_k4;19;17;4;27ms;39.33;TLE;99.75;22;---
instance_n19_s10_k2;19;10;2;12ms;25;11232ms;77;17;-67.53%
instance_n20_s15_k5;20;15;5;33ms;20.33;5736ms;67.2;17;-69.74%
instance_n20_s10_k2;20;10;2;13ms;17;TLE;83.17;17;---
instance_n20_s5_k2;20;5;2;12ms;9.5;221ms;31;7;-69.35%
instance_n25_s15_k3;25;15;3;31ms;38;TLE;124.75;20;---
instance_n25_s10_k2;25;10;2;20ms;22.67;54513ms;65;28;-65.13%
instance_n25_s20_k5;25;20;5;63ms;42.33;TLE;127.5;24;---
instance_n30_s20_k3;30;20;3;46ms;51.17;TLE;131;34;---
instance_n30_s15_k2;30;15;2;30ms;43;TLE;93.5;27;---
instance_n30_s25_k5;30;25;5;122ms;26;TLE;145.62;35;---
instance_n35_s20_k3;35;20;3;94ms;18.67;TLE;118.62;32;---
instance_n35_s15_k2;35;15;2;39ms;25;TLE;136;29;---
instance_n35_s25_k5;35;25;5;123ms;58;TLE;178.5;34;---
instance_n40_s20_k3;40;20;3;117ms;18.5;TLE;197;15;---
instance_n40_s15_k2;40;15;2;54ms;17.5;TLE;134.25;34;---
instance_n40_s30_k5;40;30;5;191ms;26.08;TLE;186.86;40;---
instance_n45_s20_k3;45;20;3;108ms;25;TLE;152.5;30;---
instance_n45_s40_k5;45;40;5;217ms;53;TLE;468.83;13;---
instance_n45_s15_k2;45;15;2;393ms;24;TLE;157;34;---
instance_n50_s45_k5;50;45;5;320ms;59;TLE;859.53;14;---
instance_n50_s10_k2;50;10;2;120ms;9;TLE;59;15;---
instance_n50_s20_k3;50;20;3;159ms;16;TLE;139.17;36;---
instance_n55_s20_k3;55;20;3;153ms;25.75;TLE;208.72;31;---
instance_n55_s10_k2;55;10;2;127ms;7;TLE;165.57;17;---
instance_n55_s45_k5;55;45;5;392ms;42.33;TLE;506.6;16;---
instance_n60_s10_k2;60;10;2;185ms;31;TLE;169.6;15;---
instance_n60_s20_k3;60;20;3;200ms;23;TLE;282;16;---
instance_n60_s50_k5;60;50;5;399ms;48.5;TLE;1470.2;14;---
instance_n65_s10_k2;65;10;2;147ms;18;TLE;145;20;---
instance_n65_s20_k3;65;20;3;230ms;29.5;TLE;360;14;---
instance_n65_s55_k5;65;55;5;631ms;27.5;TLE;1983;13;---
instance_n70_s10_k2;70;10;2;170ms;23;TLE;234;25;---
instance_n70_s30_k3;70;30;3;290ms;26;TLE;1215;16;---
instance_n70_s60_k5;70;60;5;640ms;50;TLE;2436.77;16;---
instance_n80_s40_k5;80;40;5;798ms;23.5;TLE;1754;10;---
instance_n90_s45_k5;90;45;5;930ms;33.5;TLE;2359;11;---
instance_n100_s50_k5;100;50;5;2323ms;37.5;TLE;2829;6;---
----------------------------
