Instancia;|N|;|S|;|K|;Tiempo MC;Obj. RL MC;Tiempo GC;Obj. RL GC;Gap
instance_n3_s1_k1;3;1;1;3ms;6;0ms;6;1;0%
instance_n4_s2_k1;4;2;1;7ms;10;2ms;10;4;0%
instance_n5_s2_k1;5;2;1;5ms;6;1ms;6;4;0%
instance_n6_s3_k2;6;3;2;17ms;6;2ms;6;4;0%
instance_n7_s3_k2;7;3;2;21ms;22;1ms;22;3;0%
instance_n8_s3_k2;8;3;2;55ms;14;2ms;14;4;0%
instance_n9_s4_k2;9;4;2;72ms;24;4ms;24;4;0%
instance_n10_s7_k3;10;7;3;TLE;51;27ms;51;6;---
instance_n10_s2_k2;10;2;2;73ms;16;0ms;16;1;0%
instance_n11_s9_k3;11;9;3;TLE;44;609ms;44;11;---
instance_n11_s2_k2;11;2;2;82ms;22;1ms;22;3;0%
instance_n12_s10_k3;12;10;3;29310ms;50;144ms;50;11;0%
instance_n12_s3_k2;12;3;2;3896ms;34;7ms;34;3;0%
instance_n13_s3_k2;13;3;2;147ms;26;4ms;26;4;0%
instance_n13_s11_k3;13;11;3;TLE;61;TLE;59.33;14;---
instance_n14_s12_k3;14;12;3;TLE;60;TLE;57.5;16;---
instance_n14_s4_k2;14;4;2;TLE;46;47ms;46;6;---
instance_n15_s2_k2;15;2;2;524ms;30;2ms;30;1;0%
instance_n15_s13_k4;15;13;4;TLE;73;TLE;70.5;17;---
instance_n15_s8_k2;15;8;2;11695ms;43;243ms;43;12;0%
instance_n16_s13_k4;16;13;4;TLE;104;TLE;97.5;16;---
instance_n16_s8_k2;16;8;2;TLE;57;7387ms;55.33;14;---
instance_n16_s3_k2;16;3;2;TLE;44;13ms;44;4;---
instance_n17_s14_k4;17;14;4;TLE;75;6748ms;74.12;19;---
instance_n17_s4_k2;17;4;2;TLE;39;568ms;39;6;---
instance_n17_s9_k2;17;9;2;TLE;63;TLE;63;18;---
instance_n18_s5_k2;18;5;2;TLE;57;1074ms;57;5;---
instance_n18_s10_k2;18;10;2;TLE;58;TLE;58;14;---
instance_n18_s15_k4;18;15;4;TLE;84;TLE;76.6;18;---
instance_n19_s5_k2;19;5;2;TLE;56;585ms;55.5;8;---
instance_n19_s17_k4;19;17;4;TLE;106;TLE;99.75;22;---
instance_n19_s10_k2;19;10;2;TLE;77;12080ms;77;17;---
instance_n20_s15_k5;20;15;5;TLE;70;5901ms;67.2;17;---
instance_n20_s10_k2;20;10;2;TLE;79;TLE;83.17;17;---
instance_n20_s5_k2;20;5;2;1777ms;31;227ms;31;7;0%
instance_n25_s15_k3;25;15;3;TLE;130;TLE;124.75;20;---
instance_n25_s10_k2;25;10;2;51627ms;65;TLE;65;28;---
instance_n25_s20_k5;25;20;5;TLE;142;TLE;127.5;24;---
instance_n30_s20_k3;30;20;3;TLE;126;TLE;131;34;---
instance_n30_s15_k2;30;15;2;TLE;97;TLE;93.5;27;---
----------------------------
